-26 -26 0.15
-24 -26 0
-22 -26 -0.15
-20 -26 -0.3
-18 -26 -0.4
-16 -26 -0.5
-14 -26 -0.6
-12 -26 -0.7
-10 -26 -0.85
-8 -26 -1
-6 -26 -1.15
-4 -26 -1.3
-2 -26 -1.4
0 -26 -1.5
2 -26 -1.6
4 -26 -1.7
6 -26 -1.85
8 -26 -1.8
10 -26 -1.73
12 -26 -1.7
14 -26 -1.6
16 -26 -1.5
18 -26 -1.4
20 -26 -1.35
22 -26 -1.3
24 -26 -1.2
26 -26 -1.1
-26 -24 0
-24 -24 -0.2
-22 -24 -0.3
-20 -24 -0.5
-18 -24 -0.6
-16 -24 -0.7
-14 -24 -0.9
-12 -24 -1
-10 -24 -1.15
-8 -24 -1.3
-6 -24 -1.45
-4 -24 -1.6
-2 -24 -1.75
0 -24 -1.9
2 -24 -2
4 -24 -2.1
6 -24 -2.3
8 -24 -2.25
10 -24 -2.2
12 -24 -2.1
14 -24 -2
16 -24 -1.8
18 -24 -1.6
20 -24 -1.55
22 -24 -1.5
24 -24 -1.4
26 -24 -1.3
-26 -22 -0.2
-24 -22 -0.4
-22 -22 -0.5
-20 -22 -0.7
-18 -22 -0.85
-16 -22 -1
-14 -22 -1.12
-12 -22 -1.3
-10 -22 -1.45
-8 -22 -1.6
-6 -22 -1.75
-4 -22 -1.9
-2 -22 -2.1
0 -22 -2.3
2 -22 -2.4
4 -22 -2.5
6 -22 -2.6
8 -22 -2.65
10 -22 -2.5
12 -22 -2.35
14 -22 -2.2
16 -22 -1.9
18 -22 -1.75
20 -22 -1.6
22 -22 -1.5
24 -22 -1.4
26 -22 -0.4
-26 -20 -0.5
-24 -20 -0.7
-22 -20 -0.9
-20 -20 -1
-18 -20 -1.2
-16 -20 -1.4
-14 -20 -1.6
-12 -20 -1.7
-10 -20 -1.9
-8 -20 -2.1
-6 -20 -2.3
-4 -20 -2.5
-2 -20 -2.7
0 -20 -2.8
2 -20 -2.9
4 -20 -3
6 -20 -3
8 -20 -3
10 -20 -2.9
12 -20 -2.8
14 -20 -2.5
16 -20 -2.2
18 -20 -2
20 -20 -1.7
22 -20 -1.6
24 -20 -1.45
26 -20 -0.5
-26 -18 -0.7
-24 -18 -0.85
-22 -18 -1
-20 -18 -1.2
-18 -18 -1.4
-16 -18 -1.6
-14 -18 -1.8
-12 -18 -2
-10 -18 -2.2
-8 -18 -2.4
-6 -18 -2.6
-4 -18 -2.85
-2 -18 -3.1
0 -18 -3.3
2 -18 -3.4
4 -18 -3.5
6 -18 -3.45
8 -18 -3.4
10 -18 -3.2
12 -18 -3
14 -18 -2.7
16 -18 -2.5
18 -18 -2.2
20 -18 -1.9
22 -18 -1.7
24 -18 -1.5
26 -18 -0.65
-26 -16 -0.8
-24 -16 -1
-22 -16 -1.2
-20 -16 -1.35
-18 -16 -1.5
-16 -16 -1.7
-14 -16 -1.9
-12 -16 -2.15
-10 -16 -2.4
-8 -16 -2.7
-6 -16 -2.9
-4 -16 -3.2
-2 -16 -3.4
0 -16 -3.6
2 -16 -3.8
4 -16 -4
6 -16 -3.95
8 -16 -3.9
10 -16 -3.7
12 -16 -3.5
14 -16 -3.1
16 -16 -2.8
18 -16 -2.5
20 -16 -2.1
22 -16 -1.8
24 -16 -1.6
26 -16 -0.8
-26 -14 -1
-24 -14 -1.15
-22 -14 -1.4
-20 -14 -1.5
-18 -14 -1.7
-16 -14 -1.85
-14 -14 -2.1
-12 -14 -2.3
-10 -14 -2.6
-8 -14 -2.85
-6 -14 -3.1
-4 -14 -3.4
-2 -14 -3.7
0 -14 -3.9
2 -14 -4.1
4 -14 -4.4
6 -14 -4.35
8 -14 -4.3
10 -14 -4.1
12 -14 -3.95
14 -14 -3.5
16 -14 -3.1
18 -14 -2.7
20 -14 -2.3
22 -14 -2
24 -14 -1.7
26 -14 -0.9
-26 -12 -0.9
-24 -12 -1.1
-22 -12 -1.3
-20 -12 -1.5
-18 -12 -1.6
-16 -12 -1.8
-14 -12 -2
-12 -12 -2.2
-10 -12 -2.4
-8 -12 -2.6
-6 -12 -2.8
-4 -12 -3
-2 -12 -3.1
0 -12 -3.4
2 -12 -3.7
4 -12 -3.9
6 -12 -4.1
8 -12 -4.15
10 -12 -4.2
12 -12 -4.2
14 -12 -4.2
16 -12 -3.7
18 -12 -3.3
20 -12 -2.4
22 -12 -2.45
24 -12 -2.1
26 -12 -1.75
-26 -10 -1
-24 -10 -1.2
-22 -10 -1.4
-20 -10 -1.6
-18 -10 -1.75
-16 -10 -1.9
-14 -10 -2.1
-12 -10 -2.3
-10 -10 -2.5
-8 -10 -2.6
-6 -10 -2.7
-4 -10 -2.8
-2 -10 -2.9
0 -10 -3.1
2 -10 -3.35
4 -10 -3.6
6 -10 -3.8
8 -10 -3.9
10 -10 -4.1
12 -10 -4.2
14 -10 -4.3
16 -10 -3.9
18 -10 -3.5
20 -10 -2.55
22 -10 -2.6
24 -10 -2.2
26 -10 -1.8
-26 -8 -1.2
-24 -8 -1.4
-22 -8 -1.55
-20 -8 -1.7
-18 -8 -1.9
-16 -8 -2.1
-14 -8 -2.2
-12 -8 -2.4
-10 -8 -2.6
-8 -8 -2.62
-6 -8 -2.65
-4 -8 -2.65
-2 -8 -2.7
0 -8 -2.9
2 -8 -3
4 -8 -3.2
6 -8 -3.4
8 -8 -3.45
10 -8 -3.5
12 -8 -3.65
14 -8 -3.8
16 -8 -3.6
18 -8 -3.35
20 -8 -2.9
22 -8 -2.5
24 -8 -2.2
26 -8 -1.75
-26 -6 -1.4
-24 -6 -1.55
-22 -6 -1.7
-20 -6 -1.85
-18 -6 -2
-16 -6 -2.15
-14 -6 -2.3
-12 -6 -2.5
-10 -6 -2.7
-8 -6 -2.665
-6 -6 -2.6
-4 -6 -2.65
-2 -6 -2.5
0 -6 -2.6
2 -6 -2.7
4 -6 -2.8
6 -6 -2.9
8 -6 -2.95
10 -6 -3
12 -6 -3.15
14 -6 -3.3
16 -6 -3.25
18 -6 -3.2
20 -6 -2.8
22 -6 -2.4
24 -6 -2.15
26 -6 -1.7
-26 -4 -1.5
-24 -4 -1.75
-22 -4 -1.85
-20 -4 -2.1
-18 -4 -2.3
-16 -4 -2.5
-14 -4 -2.65
-12 -4 -2.9
-10 -4 -3.1
-8 -4 -3.05
-6 -4 -3
-4 -4 -2.9
-2 -4 -2.75
0 -4 -2.8
2 -4 -2.75
4 -4 -2.72
6 -4 -2.7
8 -4 -2.68
10 -4 -2.65
12 -4 -2.7
14 -4 -2.7
16 -4 -2.72
18 -4 -2.7
20 -4 -2.5
22 -4 -2.2
24 -4 -1.8
26 -4 -1.5
-26 -2 -1.6
-24 -2 -1.8
-22 -2 -2
-20 -2 -2.3
-18 -2 -2.45
-16 -2 -2.7
-14 -2 -3
-12 -2 -3.2
-10 -2 -3.4
-8 -2 -3.4
-6 -2 -3.4
-4 -2 -3.2
-2 -2 -3
0 -2 -2.9
2 -2 -2.8
4 -2 -2.65
6 -2 -2.5
8 -2 -2.4
10 -2 -2.3
12 -2 -2.25
14 -2 -2.2
16 -2 -2.2
18 -2 -2.2
20 -2 -2
22 -2 -1.85
24 -2 -1.6
26 -2 -1.2
-26 0 -1.7
-24 0 -1.95
-22 0 -2.2
-20 0 -2.5
-18 0 -2.72
-16 0 -3
-14 0 -3.35
-12 0 -3.6
-10 0 -3.9
-8 0 -3.95
-6 0 -4
-4 0 -3.8
-2 0 -3.6
0 0 -3.2
2 0 -2.9
4 0 -2.67
6 0 -2.4
8 0 -2.2
10 0 -2
12 0 -1.9
14 0 -1.8
16 0 -1.75
18 0 -1.7
20 0 -1.6
22 0 -1.5
24 0 -1.25
26 0 -1
-26 2 -1.8
-24 2 -2.1
-22 2 -2.4
-20 2 -2.7
-18 2 -3
-16 2 -3.35
-14 2 -3.7
-12 2 -4.1
-10 2 -4.4
-8 2 -4.5
-6 2 -4.6
-4 2 -4.4
-2 2 -4.1
0 2 -3.6
2 2 -3
4 2 -2.7
6 2 -2.3
8 2 -2
10 2 -1.75
12 2 -1.6
14 2 -1.4
16 2 -1.3
18 2 -1.2
20 2 -1.15
22 2 -1.1
24 2 -1
26 2 -0.8
-26 4 -1.95
-24 4 -2.3
-22 4 -2.6
-20 4 -2.9
-18 4 -3.25
-16 4 -3.7
-14 4 -4.2
-12 4 -4.6
-10 4 -4.8
-8 4 -4.85
-6 4 -4.9
-4 4 -4.55
-2 4 -4.2
0 4 -3.65
2 4 -3
4 4 -2.6
6 4 -2.2
8 4 -1.9
10 4 -1.6
12 4 -1.4
14 4 -1.2
16 4 -1.05
18 4 -0.9
20 4 -0.8
22 4 -0.75
24 4 -0.65
26 4 -0.5
-26 6 -2.1
-24 6 -2.4
-22 6 -2.75
-20 6 -3.1
-18 6 -3.5
-16 6 -4
-14 6 -4.45
-12 6 -4.8
-10 6 -5.2
-8 6 -5.2
-6 6 -5.2
-4 6 -4.7
-2 6 -4.3
0 6 -3.7
2 6 -3
4 6 -2.6
6 6 -2.1
8 6 -1.75
10 6 -1.4
12 6 -1.15
14 6 -0.9
16 6 -0.75
18 6 -0.6
20 6 -0.5
22 6 -0.4
24 6 -0.3
26 6 -0.2
-26 8 -2.2
-24 8 -2.5
-22 8 -2.8
-20 8 -3.2
-18 8 -3.6
-16 8 -4.1
-14 8 -4.6
-12 8 -4.95
-10 8 -5.25
-8 8 -5.1
-6 8 -4.95
-4 8 -4.5
-2 8 -3.95
0 8 -2.9
2 8 -2.8
4 8 -2.4
6 8 -1.95
8 8 -1.6
10 8 -1.35
12 8 -0.9
14 8 -0.8
16 8 -0.6
18 8 -0.4
20 8 -0.2
22 8 -0.3
24 8 -0.31
26 8 -0.3
-26 10 -2.25
-24 10 -2.55
-22 10 -2.85
-20 10 -3.25
-18 10 -3.7
-16 10 -4.25
-14 10 -4.8
-12 10 -5.1
-10 10 -5.3
-8 10 -5
-6 10 -4.7
-4 10 -4.15
-2 10 -3.6
0 10 -3.1
2 10 -2.6
4 10 -2.2
6 10 -1.8
8 10 -1.55
10 10 -1.3
12 10 -1
14 10 -0.65
16 10 -0.5
18 10 -0.2
20 10 -0.2
22 10 -0.2
24 10 -0.3
26 10 -0.4
-26 12 -2.23
-24 12 -2.53
-22 12 -2.83
-20 12 -3.23
-18 12 -3.65
-16 12 -4.1
-14 12 -4.55
-12 12 -4.8
-10 12 -5
-8 12 -4.7
-6 12 -4.35
-4 12 -3.8
-2 12 -3.3
0 12 -2.8
2 12 -2.4
4 12 -2
6 12 -1.7
8 12 -1.45
10 12 -1.2
12 12 -0.9
14 12 -0.6
16 12 -0.55
18 12 -0.5
20 12 -0.3
22 12 0.15
24 12 0.17
26 12 0.2
-26 14 -2.2
-24 14 -2.5
-22 14 -2.8
-20 14 -3.2
-18 14 -3.6
-16 14 -3.95
-14 14 -4.3
-12 14 -4.5
-10 14 -4.7
-8 14 -4.35
-6 14 -4
-4 14 -3.4
-2 14 -2.85
0 14 -2.5
2 14 -2.2
4 14 -1.9
6 14 -1.6
8 14 -1.35
10 14 -1.1
12 14 -0.8
14 14 -0.5
16 14 -0.25
18 14 0.1
20 14 0.3
22 14 0.5
24 14 0.65
26 14 0.8
-26 16 -2
-24 16 -2.3
-22 16 -2.6
-20 16 -3
-18 16 -3.4
-16 16 -3.8
-14 16 -4.15
-12 16 -4.3
-10 16 -4.4
-8 16 -4
-6 16 -3.55
-4 16 -3.1
-2 16 -2.6
0 16 -2.3
2 16 -1.95
4 16 -1.7
6 16 -1.4
8 16 -1.15
10 16 -0.9
12 16 -0.62
14 16 -0.35
16 16 -0.1
18 16 0.25
20 16 0.5
22 16 0.7
24 16 0.85
26 16 1
-26 18 -1.85
-24 18 -2.15
-22 18 -2.45
-20 18 -2.8
-18 18 -3.2
-16 18 -3.6
-14 18 -4
-12 18 -4.05
-10 18 -4.1
-8 18 -3.6
-6 18 -3.1
-4 18 -2.75
-2 18 -2.4
0 18 -2.05
2 18 -1.7
4 18 -1.45
6 18 -1.2
8 18 -0.95
10 18 -0.7
12 18 -0.45
14 18 -0.2
16 18 0.1
18 18 0.4
20 18 0.65
22 18 0.9
24 18 1.05
26 18 1.2
-26 20 -1.8
-24 20 -2.05
-22 20 -2.3
-20 20 -2.65
-18 20 -3
-16 20 -3.35
-14 20 -3.7
-12 20 -3.67
-10 20 -3.6
-8 20 -3.2
-6 20 -2.8
-4 20 -2.4
-2 20 -2.1
0 20 -1.8
2 20 -1.55
4 20 -1.3
6 20 -1
8 20 -0.8
10 20 -0.55
12 20 -0.3
14 20 0
16 20 0.3
18 20 0.55
20 20 0.8
22 20 1.05
24 20 1.22
26 20 1.4
-26 22 -1.7
-24 22 -1.9
-22 22 -2.1
-20 22 -2.45
-18 22 -2.8
-16 22 -3.1
-14 22 -3.4
-12 22 -3.3
-10 22 -3.2
-8 22 -2.8
-6 22 -2.4
-4 22 -2.1
-2 22 -1.8
0 22 -1.6
2 22 -1.4
4 22 -1.1
6 22 -0.85
8 22 -0.62
10 22 -0.4
12 22 -0.1
14 22 0.2
16 22 0.45
18 22 0.7
20 22 0.95
22 22 1.2
24 22 1.4
26 22 1.6
-26 24 -1.55
-24 24 -1.75
-22 24 -1.9
-20 24 -2.22
-18 24 -2.55
-16 24 -2.8
-14 24 -3.05
-12 24 -2.9
-10 24 -2.8
-8 24 -2.4
-6 24 -2.1
-4 24 -1.85
-2 24 -1.6
0 24 -1.4
2 24 -1.15
4 24 -0.9
6 24 -0.7
8 24 -0.45
10 24 -0.2
12 24 0.05
14 24 0.35
16 24 0.6
18 24 0.85
20 24 1.15
22 24 1.3
24 24 1.5
26 24 1.65
-26 26 -1.4
-24 26 -1.6
-22 26 -1.75
-20 26 -2
-18 26 -2.3
-16 26 -2.5
-14 26 -2.7
-12 26 -2.5
-10 26 -2.3
-8 26 -2.05
-6 26 -1.8
-4 26 -1.6
-2 26 -1.4
0 26 -1.15
2 26 -0.9
4 26 -0.7
6 26 -0.5
8 26 -0.25
10 26 0
12 26 0.25
14 26 0.5
16 26 0.75
18 26 1
20 26 1.2
22 26 1.4
24 26 1.55
26 26 1.7
